"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Niveau","Qualitaet_Byte"
"RF_TU_MN009","433","201504081400","71","7","1"
"RF_TU_MN009","433","201504081500","71","7","1"
"RF_TU_MN009","433","201504081600","72","7","1"
"RF_TU_MN009","433","201504081700","70","7","1"
"RF_TU_MN009","433","201504081800","72","7","1"
"RF_TU_MN009","433","201504081900","74","7","1"
"RF_TU_MN009","433","201504082000","77","7","1"
"RF_TU_MN009","433","201504082100","77","7","1"
"RF_TU_MN009","433","201504082200","81","7","1"
"RF_TU_MN009","433","201504082300","89","7","1"
"RF_TU_MN009","433","201504090000","91","7","1"
"RF_TU_MN009","433","201504090100","94","7","1"
"RF_TU_MN009","433","201504090200","96","7","1"
"RF_TU_MN009","433","201504090300","98","7","1"
"RF_TU_MN009","433","201504090400","99","7","1"
"RF_TU_MN009","433","201504090500","96","7","1"
"RF_TU_MN009","433","201504090600","95","7","1"
"RF_TU_MN009","433","201504090700","90","7","1"
"RF_TU_MN009","433","201504090800","86","7","1"
"RF_TU_MN009","433","201504090900","76","7","1"
"RF_TU_MN009","433","201504091000","63","7","1"
"RF_TU_MN009","433","201504091100","57","7","1"
"RF_TU_MN009","433","201504091200","53","7","1"
"RF_TU_MN009","433","201504091300","51","7","1"
"RF_TU_MN009","433","201504091400","49","7","1"
"RF_TU_MN009","433","201504091500","47","7","1"
"RF_TU_MN009","433","201504091600","47","7","1"
"RF_TU_MN009","433","201504091700","47","7","1"
"RF_TU_MN009","433","201504091800","49","7","1"
"RF_TU_MN009","433","201504091900","53","7","1"
"RF_TU_MN009","433","201504092000","58","7","1"
"RF_TU_MN009","433","201504092100","62","7","1"
"RF_TU_MN009","433","201504092200","71","7","1"
"RF_TU_MN009","433","201504092300","77","7","1"
"RF_TU_MN009","433","201504100000","82","7","1"
"RF_TU_MN009","433","201504100100","85","7","1"
"RF_TU_MN009","433","201504100200","86","7","1"
"RF_TU_MN009","433","201504100300","91","7","1"
"RF_TU_MN009","433","201504100400","89","7","1"
"RF_TU_MN009","433","201504100500","90","7","1"
"RF_TU_MN009","433","201504100600","93","7","1"
"RF_TU_MN009","433","201504100700","78","7","1"
"RF_TU_MN009","433","201504100800","66","7","1"
"RF_TU_MN009","433","201504100900","58","7","1"
"RF_TU_MN009","433","201504101000","54","7","1"
"RF_TU_MN009","433","201504101100","51","7","1"
"RF_TU_MN009","433","201504101200","48","7","1"
"RF_TU_MN009","433","201504101300","42","7","1"
"RF_TU_MN009","433","201504101400","42","7","1"
"RF_TU_MN009","433","201504101500","39","7","1"
"RF_TU_MN009","433","201504101600","40","7","1"
"RF_TU_MN009","433","201504101700","36","7","1"
"RF_TU_MN009","433","201504101800","39","7","1"
"RF_TU_MN009","433","201504101900","46","7","1"
"RF_TU_MN009","433","201504102000","51","7","1"
"RF_TU_MN009","433","201504102100","56","7","1"
"RF_TU_MN009","433","201504102200","62","7","1"
"RF_TU_MN009","433","201504102300","65","7","1"
"RF_TU_MN009","433","201504110000","67","7","1"
"RF_TU_MN009","433","201504110100","71","7","1"
"RF_TU_MN009","433","201504110200","72","7","1"
"RF_TU_MN009","433","201504110300","79","7","1"
"RF_TU_MN009","433","201504110400","76","7","1"
"RF_TU_MN009","433","201504110500","75","7","1"
"RF_TU_MN009","433","201504110600","75","7","1"
"RF_TU_MN009","433","201504110700","68","7","1"
"RF_TU_MN009","433","201504110800","59","7","1"
"RF_TU_MN009","433","201504110900","47","7","1"
"RF_TU_MN009","433","201504111000","38","7","1"
"RF_TU_MN009","433","201504111100","29","7","1"
"RF_TU_MN009","433","201504111200","29","7","1"
"RF_TU_MN009","433","201504111300","32","7","1"
"RF_TU_MN009","433","201504111400","33","7","1"
"RF_TU_MN009","433","201504111500","35","7","1"
"RF_TU_MN009","433","201504111600","37","7","1"
"RF_TU_MN009","433","201504111700","58","7","1"
"RF_TU_MN009","433","201504111800","55","7","1"
"RF_TU_MN009","433","201504111900","61","7","1"
"RF_TU_MN009","433","201504112000","63","7","1"
"RF_TU_MN009","433","201504112100","72","7","1"
"RF_TU_MN009","433","201504112200","65","7","1"
"RF_TU_MN009","433","201504112300","86","7","1"
"RF_TU_MN009","433","201504120000","73","7","1"
"RF_TU_MN009","433","201504120100","76","7","1"
"RF_TU_MN009","433","201504120200","74","7","1"
"RF_TU_MN009","433","201504120300","74","7","1"
"RF_TU_MN009","433","201504120400","75","7","1"
"RF_TU_MN009","433","201504120500","74","7","1"
"RF_TU_MN009","433","201504120600","73","7","1"
"RF_TU_MN009","433","201504120700","67","7","1"
"RF_TU_MN009","433","201504120800","60","7","1"
"RF_TU_MN009","433","201504120900","52","7","1"
